partida_id,rodada,clube,cartao,atleta,num_camisa,posicao,minuto,minuto_numerico
4607,1,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,,66,66
4607,1,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,44,44
4608,1,Internacional,Amarelo,Andrés D'Alessandro,10.0,Meio-campo,72,72
4608,1,Vitória,Amarelo,Marcelo Machado dos Santos,29.0,,86,86
4608,1,Vitória,Amarelo,Mansur,,Zagueiro,10,10
4608,1,Internacional,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,20,20
4608,1,Vitória,Amarelo,Vinícius Santos Silva,,,82,82
4609,1,Coritiba,Amarelo,Carlos Emiliano Pereira,30.0,Zagueiro,76,76
4612,1,Bahia,Amarelo,Cristian Chagas Tarouco,3.0,Zagueiro,78,78
4612,1,Bahia,Amarelo,Rhayner,,Atacante,41,41
4612,1,Cruzeiro,Amarelo,Willian Farias,15.0,,90+1,91
4612,1,Cruzeiro,Amarelo,Willian Gomes de Siqueira,9.0,Atacante,45+1,46
4612,1,Bahia,Amarelo,Pará,40.0,Zagueiro,60,60
4612,1,Bahia,Amarelo,Fahel,7.0,Meio-campo,39,39
4612,1,Cruzeiro,Amarelo,Paulo César Tinga,7.0,Meio-campo,48,48
4612,1,Cruzeiro,Amarelo,Nílton Ferreira Júnior,19.0,Meio-campo,22,22
4611,1,Botafogo,Amarelo,Marcelo Mattos,5.0,Meio-campo,67,67
4611,1,São Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,31,31
4611,1,Botafogo,Amarelo,Juan Carlos Ferreyra,9.0,Atacante,30,30
4610,1,Athletico Paranaense,Amarelo,Paulinho Dias,17.0,Meio-campo,38,38
4610,1,Grêmio,Amarelo,Ramiro Moschen Benetti,17.0,Meio-campo,62,62
4610,1,Grêmio,Amarelo,Edinho,15.0,Meio-campo,72,72
4614,1,Flamengo,Amarelo,Wallace Reis da Silva,14.0,Zagueiro,47,47
4614,1,Flamengo,Amarelo,Léo Moura,2.0,Zagueiro,31,31
4614,1,Goiás,Amarelo,Thiago Henrique Mendes Ribeiro,23.0,Meio-campo,72,72
4614,1,Flamengo,Amarelo,Lucas Mugni,,Meio-campo,37,37
4614,1,Flamengo,Amarelo,Maurício Azevedo Alves,40.0,Meio-campo,24,24
4614,1,Goiás,Amarelo,Tiago Real,,,69,69
4615,1,Santos,Amarelo,Jubal Rocha Mendes Júnior,36.0,,90+1,91
4615,1,Sport,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,55,55
4615,1,Sport,Amarelo,Neto Baiano,9.0,Atacante,75,75
4615,1,Sport,Amarelo,Rodrigo Mancha,5.0,Meio-campo,43,43
4616,1,Palmeiras,Amarelo,Josimar,15.0,Meio-campo,90+1,91
4616,1,Palmeiras,Amarelo,Marcelo Oliveira Ferreira,26.0,Meio-campo,26,26
4616,1,Criciúma,Amarelo,Silvinho,,Atacante,72,72
4616,1,Criciúma,Amarelo,João Vitor Lima Gomes,,Meio-campo,29,29
4616,1,Palmeiras,Amarelo,Fernando Prass,1.0,Goleiro,72,72
4616,1,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,22,22
4616,1,Criciúma,Amarelo,Sergio Escudero,,Zagueiro,56,56
4616,1,Palmeiras,Amarelo,Alan Kardec,14.0,Atacante,90+2,92
4617,2,Coritiba,Amarelo,José Gildeixon Clemente de Paiva,8.0,Meio-campo,56,56
4617,2,Coritiba,Amarelo,Luccas Claro,3.0,Zagueiro,47,47
4617,2,Santos,Amarelo,Alan Santos da Silva,,Meio-campo,81,81
4617,2,Santos,Amarelo,Neuciano Gusmão,4.0,Zagueiro,17,17
4617,2,Coritiba,Amarelo,Zé Love,7.0,Atacante,52,52
4617,2,Santos,Amarelo,Stéfano Yuri,,,89,89
4617,2,Santos,Amarelo,Alison Lopes Ferreira,5.0,Meio-campo,79,79
4618,2,Fluminense,Amarelo,Wagner Ferreira dos Santos,10.0,Meio-campo,73,73
4618,2,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,86,86
4618,2,Fluminense,Amarelo,Darío Conca,11.0,Meio-campo,64,64
4620,2,Vitória,Amarelo,Dão,,Zagueiro,73,73
4620,2,Athletico Paranaense,Amarelo,Dráusio Luis Salla Gil,55.0,Zagueiro,10,10
4622,2,Cruzeiro,Amarelo,Henrique Pacheco Lima,8.0,Meio-campo,70,70
4622,2,Cruzeiro,Amarelo,Miguel Samudio,21.0,Zagueiro,90+1,91
4622,2,São Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,23,23
4619,2,Botafogo,Amarelo,Edílson Mendes Guimarães,33.0,,82,82
4619,2,Internacional,Amarelo,Otávio,33.0,,90+3,93
4619,2,Internacional,Amarelo,Gladestony,,,66,66
4619,2,Botafogo,Vermelho,Lucas Rios Marques,2.0,Zagueiro,90+3,93
4619,2,Botafogo,Amarelo,Airton Ribeiro Santos,,Meio-campo,52,52
4619,2,Internacional,Amarelo,Charles Aránguiz,20.0,Meio-campo,82,82
4619,2,Internacional,Amarelo,Willians Domingos Fernandes,8.0,Meio-campo,16,16
4621,2,Flamengo,Vermelho,Léo Moura,2.0,Zagueiro,42,42
4621,2,Corinthians,Amarelo,Ralf de Souza Teles,5.0,Meio-campo,26,26
4621,2,Flamengo,Amarelo,Víctor Cáceres,5.0,Meio-campo,37,37
4621,2,Corinthians,Amarelo,Paolo Guerrero,9.0,Atacante,7,7
4626,2,Sport,Amarelo,Danilo Barcelos,14.0,,69,69
4626,2,Chapecoense,Amarelo,Rafael Lima,3.0,Zagueiro,53,53
4623,2,Figueirense,Amarelo,Marcos Assunção,,Meio-campo,73,73
4623,2,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,Meio-campo,35,35
4623,2,Bahia,Amarelo,Demerson Bruno Costa,29.0,Zagueiro,32,32
4623,2,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,70,70
4623,2,Bahia,Amarelo,Fahel,7.0,Meio-campo,66,66
4624,2,Grêmio,Amarelo,Rodrigo Eduardo Costa Marinho,27.0,Meio-campo,45,45
4624,2,Atlético Mineiro,Amarelo,André Felipe Ribeiro de Souza,,,90,90
4624,2,Atlético Mineiro,Amarelo,Nicolás Otamendi,20.0,Zagueiro,41,41
4624,2,Grêmio,Vermelho,Bressan,22.0,Zagueiro,87,87
4624,2,Grêmio,Amarelo,Bressan,22.0,Zagueiro,54,54
4624,2,Grêmio,Amarelo,Alan Ruiz,11.0,Meio-campo,34,34
4624,2,Atlético Mineiro,Amarelo,Leonardo Silva,3.0,Zagueiro,51,51
4625,2,Criciúma,Amarelo,Bruno Lopes,,Atacante,18,18
4628,3,Athletico Paranaense,Vermelho,Dráusio Luis Salla Gil,55.0,Zagueiro,47,47
4628,3,Athletico Paranaense,Amarelo,Natanael Batista Pimenta,6.0,Zagueiro,74,74
4628,3,Athletico Paranaense,Amarelo,Cleberson Martins de Souza,4.0,Zagueiro,27,27
4628,3,Cruzeiro,Amarelo,Wallace Fortuna dos Santos,18.0,Zagueiro,77,77
4628,3,Athletico Paranaense,Amarelo,Weverton Pereira da Silva,12.0,Goleiro,60,60
4628,3,Cruzeiro,Amarelo,Elierce Barbosa de Souza,78.0,Meio-campo,90+2,92
4628,3,Cruzeiro,Amarelo,Luan Michel Louzã,88.0,Atacante,71,71
4627,3,Santos,Amarelo,Alan Santos da Silva,,Meio-campo,26,26
4627,3,Grêmio,Amarelo,Edinho,15.0,Meio-campo,29,29
4629,3,São Paulo,Amarelo,Luís Fabiano,9.0,Atacante,76,76
4629,3,São Paulo,Amarelo,Alexandre Pato,,Atacante,23,23
4629,3,Coritiba,Amarelo,Luccas Claro,3.0,Zagueiro,52,52
4629,3,São Paulo,Amarelo,Antônio Carlos dos Santos Aguiar,4.0,Zagueiro,53,53
4629,3,Coritiba,Amarelo,Leandro Almeida,44.0,Zagueiro,58,58
4629,3,Coritiba,Amarelo,Zé Love,7.0,Atacante,36,36
4630,3,Fluminense,Amarelo,Fred,9.0,Atacante,90,90
4630,3,Vitória,Amarelo,Souza,,Atacante,61,61
4631,3,Criciúma,Amarelo,Rodrigo Silva,,,85,85
4631,3,Figueirense,Amarelo,Rivaldo Barbosa de Souza,7.0,Zagueiro,72,72
4631,3,Figueirense,Amarelo,Tiago Luis Volpi,,Goleiro,31,31
4631,3,Figueirense,Vermelho,Nirley da Silva Fonseca,88.0,Zagueiro,30,30
4631,3,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,82,82
4631,3,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,Meio-campo,47,47
4631,3,Figueirense,Amarelo,Nirley da Silva Fonseca,88.0,Zagueiro,25,25
4634,3,Flamengo,Amarelo,André Santos,27.0,Zagueiro,77,77
4634,3,Palmeiras,Amarelo,William Mendieta,,,90+2,92
4634,3,Palmeiras,Amarelo,Juninho,6.0,Zagueiro,57,57
4634,3,Flamengo,Amarelo,Negueba,,Meio-campo,51,51
4634,3,Palmeiras,Amarelo,Henrique Dourado,27.0,Atacante,90+1,91
4634,3,Palmeiras,Amarelo,Josimar,15.0,Meio-campo,41,41
4633,3,Bahia,Amarelo,Lincoln Cássio de Souza Soares,,Meio-campo,81,81
4633,3,Bahia,Amarelo,Uelliton da Silva Vieira,8.0,Meio-campo,8,8
4633,3,Botafogo,Amarelo,Matheus Dória Macedo,21.0,Zagueiro,90+4,94
4633,3,Botafogo,Amarelo,Gabriel Girotto Franco,15.0,Meio-campo,45,45
4633,3,Bahia,Amarelo,Anderson Talisca,8.0,Atacante,12,12
4633,3,Bahia,Amarelo,Marcelo Lomba,1.0,Goleiro,5,5
4633,3,Botafogo,Amarelo,Edílson Mendes Guimarães,33.0,Zagueiro,56,56
4633,3,Botafogo,Amarelo,Júnior César,,Zagueiro,13,13
4632,3,Internacional,Amarelo,Charles Aránguiz,20.0,Meio-campo,81,81
4632,3,Sport,Amarelo,Ananias Elói Castro Monteiro,27.0,Atacante,48,48
4632,3,Internacional,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,57,57
4632,3,Sport,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,37,37
4635,3,Chapecoense,Amarelo,Rafael Lima,3.0,Zagueiro,80,80
4635,3,Chapecoense,Amarelo,André Luiz Paulino de Souza Motta,4.0,Zagueiro,19,19
4635,3,Corinthians,Amarelo,Guilherme dos Santos Torres,19.0,Meio-campo,25,25
4635,3,Chapecoense,Amarelo,Neuton,13.0,Zagueiro,23,23
4635,3,Corinthians,Amarelo,Fagner,23.0,Zagueiro,43,43
4635,3,Corinthians,Amarelo,Romarinho,31.0,Atacante,15,15
4636,3,Atlético Mineiro,Amarelo,Victor,1.0,Goleiro,90+2,92
4636,3,Goiás,Amarelo,Tiago Real,,Meio-campo,90+3,93
4636,3,Atlético Mineiro,Amarelo,Claudinei Junio de Souza,,Meio-campo,67,67
4638,4,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,87,87
4638,4,Palmeiras,Amarelo,Wesley Lopes Beltrame,11.0,Meio-campo,30,30
4638,4,Goiás,Amarelo,Jackson de Souza,,Zagueiro,73,73
4638,4,Goiás,Amarelo,Alex Alves Cardoso,15.0,Zagueiro,34,34
4638,4,Palmeiras,Amarelo,Henrique Dourado,27.0,Atacante,88,88
4638,4,Palmeiras,Amarelo,Fábio Szymonek,47.0,Goleiro,45+2,47
4638,4,Palmeiras,Amarelo,Lucimar da Silva Ferreira,3.0,Zagueiro,28,28
